id,name,type,logo,code,flag
279,Malaysia,League,https://media.api-sports.io/football/leagues/279.png,MY,https://media.api-sports.io/flags/my.svg
280,New-Zealand,League,https://media.api-sports.io/football/leagues/280.png,NZ,https://media.api-sports.io/flags/nz.svg
281,Peru,League,https://media.api-sports.io/football/leagues/281.png,PE,https://media.api-sports.io/flags/pe.svg
282,Peru,League,https://media.api-sports.io/football/leagues/282.png,PE,https://media.api-sports.io/flags/pe.svg
283,Romania,League,https://media.api-sports.io/football/leagues/283.png,RO,https://media.api-sports.io/flags/ro.svg
284,Romania,League,https://media.api-sports.io/football/leagues/284.png,RO,https://media.api-sports.io/flags/ro.svg
286,Serbia,League,https://media.api-sports.io/football/leagues/286.png,RS,https://media.api-sports.io/flags/rs.svg
287,Serbia,League,https://media.api-sports.io/football/leagues/287.png,RS,https://media.api-sports.io/flags/rs.svg
288,South-Africa,League,https://media.api-sports.io/football/leagues/288.png,ZA,https://media.api-sports.io/flags/za.svg
289,South-Africa,League,https://media.api-sports.io/football/leagues/289.png,ZA,https://media.api-sports.io/flags/za.svg
290,Iran,League,https://media.api-sports.io/football/leagues/290.png,IR,https://media.api-sports.io/flags/ir.svg
291,Iran,League,https://media.api-sports.io/football/leagues/291.png,IR,https://media.api-sports.io/flags/ir.svg
292,South-Korea,League,https://media.api-sports.io/football/leagues/292.png,KR,https://media.api-sports.io/flags/kr.svg
293,South-Korea,League,https://media.api-sports.io/football/leagues/293.png,KR,https://media.api-sports.io/flags/kr.svg
307,Saudi-Arabia,League,https://media.api-sports.io/football/leagues/307.png,SA,https://media.api-sports.io/flags/sa.svg
308,Saudi-Arabia,League,https://media.api-sports.io/football/leagues/308.png,SA,https://media.api-sports.io/flags/sa.svg
309,Saudi-Arabia,League,https://media.api-sports.io/football/leagues/309.png,SA,https://media.api-sports.io/flags/sa.svg
252,Paraguay,League,https://media.api-sports.io/football/leagues/252.png,PY,https://media.api-sports.io/flags/py.svg
521,Brazil,League,https://media.api-sports.io/football/leagues/521.png,BR,https://media.api-sports.io/flags/br.svg
522,Brazil,League,https://media.api-sports.io/football/leagues/522.png,BR,https://media.api-sports.io/flags/br.svg
524,World,Cup,https://media.api-sports.io/football/leagues/524.png,,
531,World,Cup,https://media.api-sports.io/football/leagues/531.png,,
543,Netherlands,Cup,https://media.api-sports.io/football/leagues/543.png,NL,https://media.api-sports.io/flags/nl.svg
550,Portugal,Cup,https://media.api-sports.io/football/leagues/550.png,PT,https://media.api-sports.io/flags/pt.svg
555,Romania,Cup,https://media.api-sports.io/football/leagues/555.png,RO,https://media.api-sports.io/flags/ro.svg
556,Spain,Cup,https://media.api-sports.io/football/leagues/556.png,ES,https://media.api-sports.io/flags/es.svg
497,Japan,League,https://media.api-sports.io/football/leagues/497.png,JP,https://media.api-sports.io/flags/jp.svg
127,Denmark,League,https://media.api-sports.io/football/leagues/127.png,DK,https://media.api-sports.io/flags/dk.svg
563,Sweden,League,https://media.api-sports.io/football/leagues/563.png,SE,https://media.api-sports.io/flags/se.svg
564,Sweden,League,https://media.api-sports.io/football/leagues/564.png,SE,https://media.api-sports.io/flags/se.svg
166,Iceland,League,https://media.api-sports.io/football/leagues/166.png,IS,https://media.api-sports.io/flags/is.svg
368,Singapore,League,https://media.api-sports.io/football/leagues/368.png,SG,https://media.api-sports.io/flags/sg.svg
314,Bosnia,Cup,https://media.api-sports.io/football/leagues/314.png,BA,https://media.api-sports.io/flags/ba.svg
315,Bosnia,League,https://media.api-sports.io/football/leagues/315.png,BA,https://media.api-sports.io/flags/ba.svg
371,Macedonia,League,https://media.api-sports.io/football/leagues/371.png,MK,https://media.api-sports.io/flags/mk.svg
382,Israel,League,https://media.api-sports.io/football/leagues/382.png,IL,https://media.api-sports.io/flags/il.svg
383,Israel,League,https://media.api-sports.io/football/leagues/383.png,IL,https://media.api-sports.io/flags/il.svg
386,Ivory-Coast,League,https://media.api-sports.io/football/leagues/386.png,CI,https://media.api-sports.io/flags/ci.svg
392,Malta,League,https://media.api-sports.io/football/leagues/392.png,MT,https://media.api-sports.io/flags/mt.svg
393,Malta,League,https://media.api-sports.io/football/leagues/393.png,MT,https://media.api-sports.io/flags/mt.svg
394,Moldova,League,https://media.api-sports.io/football/leagues/394.png,MD,https://media.api-sports.io/flags/md.svg
396,Nicaragua,League,https://media.api-sports.io/football/leagues/396.png,NI,https://media.api-sports.io/flags/ni.svg
96,Portugal,Cup,https://media.api-sports.io/football/leagues/96.png,PT,https://media.api-sports.io/flags/pt.svg
399,Nigeria,League,https://media.api-sports.io/football/leagues/399.png,NG,https://media.api-sports.io/flags/ng.svg
401,Zimbabwe,League,https://media.api-sports.io/football/leagues/401.png,ZW,https://media.api-sports.io/flags/zw.svg
402,Sudan,League,https://media.api-sports.io/football/leagues/402.png,SD,https://media.api-sports.io/flags/sd.svg
403,Senegal,League,https://media.api-sports.io/football/leagues/403.png,SN,https://media.api-sports.io/flags/sn.svg
404,San-Marino,League,https://media.api-sports.io/football/leagues/404.png,SM,https://media.api-sports.io/flags/sm.svg
411,Cameroon,League,https://media.api-sports.io/football/leagues/411.png,CM,https://media.api-sports.io/flags/cm.svg
410,Cambodia,League,https://media.api-sports.io/football/leagues/410.png,KH,https://media.api-sports.io/flags/kh.svg
417,Bahrain,League,https://media.api-sports.io/football/leagues/417.png,BH,https://media.api-sports.io/flags/bh.svg
415,Benin,League,https://media.api-sports.io/football/leagues/415.png,BJ,https://media.api-sports.io/flags/bj.svg
414,Bermuda,League,https://media.api-sports.io/football/leagues/414.png,BM,https://media.api-sports.io/flags/bm.svg
413,Bhutan,League,https://media.api-sports.io/football/leagues/413.png,BT,https://media.api-sports.io/flags/bt.svg
412,Botswana,League,https://media.api-sports.io/football/leagues/412.png,BW,https://media.api-sports.io/flags/bw.svg
398,Bangladesh,League,https://media.api-sports.io/football/leagues/398.png,BD,https://media.api-sports.io/flags/bd.svg
16,World,Cup,https://media.api-sports.io/football/leagues/16.png,,
17,World,Cup,https://media.api-sports.io/football/leagues/17.png,,
25,World,Cup,https://media.api-sports.io/football/leagues/25.png,,
26,World,Cup,https://media.api-sports.io/football/leagues/26.png,,
317,Bosnia,League,https://media.api-sports.io/football/leagues/317.png,BA,https://media.api-sports.io/flags/ba.svg
316,Bosnia,League,https://media.api-sports.io/football/leagues/316.png,BA,https://media.api-sports.io/flags/ba.svg
295,South-Korea,League,https://media.api-sports.io/football/leagues/295.png,KR,https://media.api-sports.io/flags/kr.svg
495,Iran,Cup,https://media.api-sports.io/football/leagues/495.png,IR,https://media.api-sports.io/flags/ir.svg
496,Israel,League,https://media.api-sports.io/football/leagues/496.png,IL,https://media.api-sports.io/flags/il.svg
506,Slovakia,League,https://media.api-sports.io/football/leagues/506.png,SK,https://media.api-sports.io/flags/sk.svg
514,Algeria,Cup,https://media.api-sports.io/football/leagues/514.png,DZ,https://media.api-sports.io/flags/dz.svg
805,World,Cup,https://media.api-sports.io/football/leagues/805.png,,
806,World,Cup,https://media.api-sports.io/football/leagues/806.png,,
488,Germany,League,https://media.api-sports.io/football/leagues/488.png,DE,https://media.api-sports.io/flags/de.svg
559,Northern-Ireland,Cup,https://media.api-sports.io/football/leagues/559.png,GB-NIR,https://media.api-sports.io/flags/gb-nir.svg
560,United-Arab-Emirates,Cup,https://media.api-sports.io/football/leagues/560.png,AE,https://media.api-sports.io/flags/ae.svg
561,Northern-Ireland,League,https://media.api-sports.io/football/leagues/561.png,GB-NIR,https://media.api-sports.io/flags/gb-nir.svg
407,Northern-Ireland,League,https://media.api-sports.io/football/leagues/407.png,GB-NIR,https://media.api-sports.io/flags/gb-nir.svg
408,Northern-Ireland,League,https://media.api-sports.io/football/leagues/408.png,GB-NIR,https://media.api-sports.io/flags/gb-nir.svg
331,Kuwait,League,https://media.api-sports.io/football/leagues/331.png,KW,https://media.api-sports.io/flags/kw.svg
584,Libya,League,https://media.api-sports.io/football/leagues/584.png,LY,https://media.api-sports.io/flags/ly.svg
589,Chinese-Taipei,League,https://media.api-sports.io/football/leagues/589.png,TW,https://media.api-sports.io/flags/tw.svg
258,Canada,League,https://media.api-sports.io/football/leagues/258.png,CA,https://media.api-sports.io/flags/ca.svg
274,Indonesia,League,https://media.api-sports.io/football/leagues/274.png,ID,https://media.api-sports.io/flags/id.svg
304,Panama,League,https://media.api-sports.io/football/leagues/304.png,PA,https://media.api-sports.io/flags/pa.svg
766,World,Cup,https://media.api-sports.io/football/leagues/766.png,,
827,Saudi-Arabia,Cup,https://media.api-sports.io/football/leagues/827.png,SA,https://media.api-sports.io/flags/sa.svg
372,Macedonia,League,https://media.api-sports.io/football/leagues/372.png,MK,https://media.api-sports.io/flags/mk.svg
174,Bulgaria,Cup,https://media.api-sports.io/football/leagues/174.png,BG,https://media.api-sports.io/flags/bg.svg
10,World,Cup,https://media.api-sports.io/football/leagues/10.png,,
14,World,League,https://media.api-sports.io/football/leagues/14.png,,
18,World,Cup,https://media.api-sports.io/football/leagues/18.png,,
20,World,Cup,https://media.api-sports.io/football/leagues/20.png,,
38,World,Cup,https://media.api-sports.io/football/leagues/38.png,,
